S No_S No,Maker_Maker,Calendar Year_2019,TOTAL_TOTAL
1,3EV INDUSTRIES PVT LTD,1,1
2,3GB TECHNOLOGY PVT LTD,41,41
3,3S INDUSTRIES PRIVATE LIMITED,103,103
4,A1 HEAVY EQUIPMENTS DEVELOPER,122,122
5,A3T INCORPORTED,170,170
6,AADHYA ENTERPRISES,120,120
7,AADITYA EMOTORS INDIA PVT LTD,31,31
8,AADITYA GARBAGE PRODUCTS PVT LTD,16,16
9,AASHI INDIA AUTOMOBILES PVT LTD,29,29
10,A B EXCAVATORS & EARTHMOVER LTD,9,9
11,A B EXCAVATORS & EARTHMOVERS PVT LTD,4,4
12,ACCRETION POWER AUTOS,320,320
13,ACTION CONSTRUCTION EQUIPMENT LTD.,7702,7702
14,A D AGRO WORKS,168,168
15,ADAPT MOTORS PVT LTD,6,6
16,ADICO ESCORTS AGRI EQUIPMENTS PVT. LTD.,1601,1601
17,ADIDEV TECHNOA PVT LTD,8,8
18,ADISHAKTI TRACTORS,13,13
19,ADISHWAR AUTO RIDE INDIA PVT LTD,834,834
20,ADITYA AGRO INDUSTRIES,21,21
21,ADITYA ENTERPRISES,1,1
22,ADITYA SAI INDUSTRIES,296,296
23,AFTEK MOTORS INDIA PVT LTD,7,7
24,AFZAL ENGG WORKSJUNAGARH,147,147
25,AGRASEN ENGINEERING WORKS,6,6
