S No_S No,Maker_Maker,Month Wise_JAN,Month Wise_FEB,Month Wise_MAR,Month Wise_APR,Month Wise_MAY,Month Wise_JUN,Month Wise_JUL,Month Wise_AUG,Month Wise_SEP,Month Wise_OCT,Month Wise_NOV,Month Wise_DEC,TOTAL_TOTAL
1,3EV INDUSTRIES PVT LTD,2,0,1,1,0,1,0,0,0,2,1,0,8
2,3GB TECHNOLOGY PVT LTD,7,6,8,7,1,6,2,14,6,6,3,2,68
3,3S INDUSTRIES PRIVATE LIMITED,0,0,0,2,2,0,1,1,0,0,0,0,6
4,A1 HEAVY EQUIPMENTS DEVELOPER,1,2,0,0,1,0,0,1,3,0,2,2,12
5,A3T INCORPORTED,2,1,2,0,0,1,5,4,2,2,4,11,34
6,AADESH INDUSTRIES,0,1,0,0,0,0,0,0,0,0,0,0,1
7,AADHYA ENTERPRISES,5,14,4,1,5,2,2,2,8,10,17,13,83
8,AADITYA EMOTORS INDIA PVT LTD,2,2,1,2,1,1,1,1,1,3,2,1,18
9,AAKAR TRAILERS,0,0,0,0,0,0,0,0,0,1,0,1,2
10,A AND Z MOTOR CO P LTD,1,0,0,0,0,1,1,1,0,1,0,1,6
11,AARYA AUTOMOBILES,0,1,0,0,0,1,0,0,0,0,1,0,3
12,AARYA AUTOMOBILES LTD,0,0,0,0,0,0,1,0,0,0,0,0,1
13,AASHI INDIA AUTOMOBILES PVT LTD,1,2,0,0,0,0,0,2,1,1,2,1,10
14,A B EXCAVATORS & EARTHMOVER LTD,0,0,1,0,0,1,1,1,1,0,0,0,5
15,A B EXCAVATORS & EARTHMOVERS PVT LTD,0,0,0,1,0,0,1,0,1,1,2,0,6
16,ABHARAN MOTORS PRIVATE LTD,0,2,0,0,0,0,0,0,2,0,1,0,5
17,ABHAY AGRO INDUSTRIES,0,1,4,0,0,0,0,12,23,8,12,4,64
18,ABHISHEK ENGINEERING WORKS,1,2,2,5,8,4,1,5,9,8,3,7,55
19,ABIRAMI ENGINEERING WORKS,0,0,0,1,0,0,0,0,0,0,0,0,1
20,A B K AGRO INDUSTRIES,0,1,1,0,0,1,0,0,0,0,0,0,3
21,A B K ENGINEERING CO.,0,1,0,0,0,0,0,0,0,0,0,2,3
22,ACC CRANE,0,1,1,0,0,0,0,0,1,0,0,0,3
23,ACCRETION POWER AUTOS,0,0,0,1,1,0,0,1,1,0,0,0,4
24,ACTION CONSTRUCTION EQUIPMENT LTD.,445,489,496,444,447,509,426,364,402,410,394,409,5235
25,A D AGRO WORKS,4,9,2,7,3,1,4,5,5,2,4,5,51
