S No_S No,Maker_Maker,Month Wise_JAN,Month Wise_FEB,Month Wise_MAR,Month Wise_APR,Month Wise_MAY,Month Wise_JUN,Month Wise_JUL,Month Wise_AUG,TOTAL_TOTAL
1,3EV INDUSTRIES PVT LTD,130,71,0,0,0,232,1,67,501
2,3S INDUSTRIES PRIVATE LIMITED,155,106,105,186,142,129,107,37,967
3,A1 HEAVY EQUIPMENTS DEVELOPER,3,1,0,1,0,8,3,0,16
4,A-1 SUREJA INDUSTRIES,1,0,0,0,0,1,0,0,2
5,AADHYA ENTERPRISES,36,21,27,28,27,30,22,9,200
6,AADITYA GARBAGE PRODUCTS PVT LTD,0,0,0,2,0,0,4,0,6
7,AAHANA COMMERCE PVT LTD,391,385,401,421,483,517,601,241,3440
8,AAKK AUTO PVT LTD,15,4,3,24,9,7,7,11,80
9,AARON INDUSTRIES,4,1,0,0,5,1,1,0,12
10,A.B. AGRO ENGINEERING WORKS,0,6,1,0,3,0,0,0,10
11,A.B. AGRO ENGINEERING WORKS&ENTERPRISESAP11815428,0,5,0,0,0,0,0,1,6
12,ABZO MOTORS PVT LTD,4,2,1,0,1,2,0,1,11
13,ACCRETION POWER AUTOS,38,25,52,43,46,20,29,4,257
14,ACTION CONSTRUCTION EQUIPMENT LTD.,1247,1019,1224,1088,845,1025,579,264,7291
15,A D AGRO WORKS,8,14,16,13,7,5,3,6,72
16,ADAPT MOTORS PVT LTD,0,0,0,1,0,0,0,0,1
17,ADICO ESCORTS AGRI EQUIPMENTS PVT. LTD.,259,51,45,42,73,60,68,90,688
18,ADIDEV TECHNOA PVT LTD,106,102,112,172,181,178,169,72,1092
19,ADISHWAR AUTO RIDE INDIA PVT LTD,18,9,9,7,20,12,20,6,101
20,ADITYA AGRO INDUSTRIES,3,2,3,1,1,0,0,0,10
21,ADITYA SAI INDUSTRIES,9,4,20,76,71,33,19,4,236
22,ADM TECHNOLOGIES PVT. LTD.,39,24,6,5,3,3,4,2,86
23,ADRIS ELECTRIC PVT LTD,0,0,0,0,0,0,1,0,1
24,AERODRIVE PVT LTD,11,9,69,17,12,22,10,16,166
25,AEROEAGLE AUTOMOBILES PVT LTD,23,12,28,0,0,0,0,3,66
