S No_S No,Vehicle Category_Vehicle Category,Month Wise_JAN,Month Wise_FEB,Month Wise_MAR,Month Wise_APR,Month Wise_MAY,Month Wise_JUN,Month Wise_JUL,Month Wise_AUG,Month Wise_SEP,Month Wise_OCT,Month Wise_NOV,Month Wise_DEC,TOTAL_TOTAL
1,FOUR WHEELER (INVALID CARRIAGE),185,207,226,170,99,197,206,184,205,148,178,170,2175
2,HEAVY GOODS VEHICLE,15158,17260,19913,16556,6498,10001,11682,12858,15185,16416,15473,15978,172978
3,HEAVY MOTOR VEHICLE,368,455,647,384,152,315,343,334,473,399,380,504,4754
4,HEAVY PASSENGER VEHICLE,391,431,585,702,258,484,592,613,587,584,376,1070,6673
5,LIGHT GOODS VEHICLE,46032,46089,51851,35206,11674,29447,44219,43224,43035,41928,44688,45016,482409
6,LIGHT MOTOR VEHICLE,385068,341656,382384,260710,108705,260589,374722,352687,310941,293734,310283,332491,3713970
7,LIGHT PASSENGER VEHICLE,6934,7424,8821,6323,3017,5905,8497,7280,7427,7372,7694,8193,84887
8,MEDIUM GOODS VEHICLE,3627,3897,4884,3613,829,2001,2749,2876,3656,3541,3485,3526,38684
9,MEDIUM MOTOR VEHICLE,1939,1813,2232,1124,449,1122,1480,1347,1721,1369,1297,1266,17159
10,MEDIUM PASSENGER VEHICLE,421,481,607,348,216,437,477,336,384,400,389,527,5023
11,OTHER THAN MENTIONED ABOVE,4895,5605,7724,3780,1168,2946,3841,3642,5046,3973,3494,3700,49814
12,THREE WHEELER(NT),823,880,824,482,95,162,281,373,397,722,479,448,5966
13,THREE WHEELER(T),34163,35937,41307,23459,5728,16283,30096,32747,39347,42362,43358,47171,391958
14,TWO WHEELER (INVALID CARRIAGE),830,756,923,558,61,297,1754,866,979,1324,923,677,9948
15,TWO WHEELER(NT),1362864,1241283,1351960,959307,459192,1075985,1291531,1103665,1032166,1136851,1599842,1301787,13916433
16,TWO WHEELER(T),902,800,1198,519,22,122,294,357,689,950,810,1731,8394
