S No_S No,Vehicle Category_Vehicle Category,Month Wise_JAN,Month Wise_FEB,Month Wise_MAR,Month Wise_APR,Month Wise_MAY,Month Wise_JUN,Month Wise_JUL,Month Wise_AUG,TOTAL_TOTAL
1,FOUR WHEELER (INVALID CARRIAGE),332,232,260,253,301,246,270,120,2014
2,HEAVY GOODS VEHICLE,26846,23662,26048,28443,21461,18735,20087,10166,175448
3,HEAVY MOTOR VEHICLE,488,291,415,360,400,579,206,88,2827
4,HEAVY PASSENGER VEHICLE,3177,2412,3376,3171,3279,3074,3304,2149,23942
5,LIGHT GOODS VEHICLE,59511,47608,53275,45538,44997,45327,46887,22251,365394
6,LIGHT MOTOR VEHICLE,533349,348954,400642,391822,353389,352985,385493,168879,2935513
7,LIGHT PASSENGER VEHICLE,39127,28519,32257,35446,31393,31443,36508,17020,251713
8,MEDIUM GOODS VEHICLE,4111,3380,3740,3963,3273,3012,3394,1800,26673
9,MEDIUM MOTOR VEHICLE,982,795,1093,864,715,913,466,252,6080
10,MEDIUM PASSENGER VEHICLE,2362,2414,2894,3254,3634,4490,4185,1895,25128
11,OTHER THAN MENTIONED ABOVE,9116,7886,9487,7038,6573,8528,4072,2084,54784
12,THREE WHEELER (INVALID CARRIAGE),0,0,2,0,1,1,0,0,4
13,THREE WHEELER(NT),84,69,87,142,139,96,93,73,783
14,THREE WHEELER(T),106939,94122,99291,99628,104312,100532,111324,45281,761429
15,TWO WHEELER (INVALID CARRIAGE),1636,2660,6289,1742,1573,864,1006,390,16160
16,TWO WHEELER(NT),1532010,1359163,1514374,1694026,1658175,1450751,1357065,616264,11181828
17,TWO WHEELER(T),1498,870,1590,1333,1619,1706,1486,544,10646
